date,PM10_2020,PM10_2019
 04-16,56,49
 04-17,40,48
 04-18,34,39
 04-19,23,44
 04-20,16,46
 04-21,36,34
 04-22,90,101
 04-23,42,80
 04-24,44,39
 04-25,60,37
 04-26,32,21
 04-27,35,15
 04-28,37,20
 04-29,44,24
 04-30,34,29
 05-01,44,57
 05-02,47,69
 05-03,24,56
 05-04,41,77
 05-05,38,67
 05-06,43,48
 05-07,26,54
 05-08,27,51
 05-09,13,44
 05-10,31,49
 05-11,109,54
 05-12,51,60
 05-13,34,48
 05-14,50,48
 05-15,30,67
 05-16,27,65
 05-17,45,65
 05-18,56,28
 05-19,13,16
 05-20,10,36
