date,PM2.5_2020,PM2.5_2019
 04-16,34,20
 04-17,24,23
 04-18,21,23
 04-19,23,30
 04-20,13,23
 04-21,12,26
 04-22,15,39
 04-23,14,47
 04-24,17,30
 04-25,27,24
 04-26,18,11
 04-27,21,6
 04-28,23,14
 04-29,28,18
 04-30,19,21
 05-01,28,28
 05-02,29,20
 05-03,19,29
 05-04,23,61
 05-05,26,46
 05-06,24,12
 05-07,10,18
 05-08,15,22
 05-09,11,25
 05-10,31,33
 05-11,38,33
 05-12,24,33
 05-13,13,34
 05-14,15,35
 05-15,15,50
 05-16,22,50
 05-17,38,50
 05-18,43,17
 05-19,9,6
 05-20,6,9
